Country,Latitude,Longitude,Regional indicator,Year,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Benin,9.30769,2.315834,Sub-Saharan Africa,2020,5.21600008,5.368408203,5.063591957,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
Bolivia,-16.290154,-63.588653,Latin America and Caribbean,2020,5.747499943,5.846765041,5.648234844,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
Bosnia and Herzegovina,43.915886,17.679076,Central and Eastern Europe,2020,5.674099922,5.765016556,5.583183289,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
Botswana,-22.328474,24.684866,Sub-Saharan Africa,2020,3.478899956,3.597563744,3.360236168,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368
Brazil,-14.235004,-51.92528,Latin America and Caribbean,2020,6.375599861,6.455549717,6.295650005,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604
Bulgaria,42.733883,25.48583,Central and Eastern Europe,2020,5.101500034,5.188173294,5.014826775,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0
Burkina Faso,12.238333,-1.561593,Sub-Saharan Africa,2020,4.768700123,4.890351772,4.647048473,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055
Burundi,-3.373056,29.918886,Sub-Saharan Africa,2020,3.775300026,3.98526001,3.565340042,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828
Cambodia,12.565679,104.990963,Southeast Asia,2020,4.848400116,4.962093353,4.734706879,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502
Cameroon,7.369722,12.354722,Sub-Saharan Africa,2020,5.084899902,5.216800213,4.952999592,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422
Canada,56.130366,-106.346771,North America and ANZ,2020,7.23210001,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
Central and Eastern Europe,#N/A,#N/A,,2020,5.883817673,5.969854159,5.797781187,1.079527027,1.311129254,0.826199374,0.44789501,0.131079374,0.054701983
Chad,15.454166,18.732207,Sub-Saharan Africa,2020,4.422699928,4.570153236,4.27524662,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408
Chile,-35.675147,-71.542969,Latin America and Caribbean,2020,6.228499889,6.318118572,6.138881207,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935
China,35.86166,104.195397,East Asia,2020,5.123899937,5.174667358,5.073132515,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554
Colombia,4.570868,-74.297333,Latin America and Caribbean,2020,6.163400173,6.274102688,6.052697659,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837
Commonwealth of Independent States,#N/A,#N/A,,2020,5.358341614,5.441261888,5.275421341,0.841350421,1.268997918,0.702986553,0.464354448,0.171705514,0.122152049
Comoros,-11.875001,43.872219,Sub-Saharan Africa,2020,4.288599968,4.453906536,4.1232934,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535
Costa Rica,9.748917,-83.753428,Latin America and Caribbean,2020,7.121399879,7.209239483,7.033560276,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
Croatia,45.1,15.2,Central and Eastern Europe,2020,5.504700184,5.578756332,5.430644035,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006
Cyprus,35.126413,33.429859,Western Europe,2020,6.15899992,6.258187771,6.059812069,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144
Czech Republic,49.817492,15.472962,Central and Eastern Europe,2020,6.910900116,6.994966984,6.826833248,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223
Denmark,56.26392,9.501785,Western Europe,2020,7.645599842,7.711244583,7.579955101,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
Dominican Republic,18.735693,-70.162651,Latin America and Caribbean,2020,5.689199924,5.826069355,5.552330494,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682
East Asia,#N/A,#N/A,,2020,5.714849949,5.79222099,5.637478908,1.185274591,1.27637591,0.932254881,0.436815227,0.164633673,0.150637732
Ecuador,-1.831239,-78.183406,Latin America and Caribbean,2020,5.925199986,6.028846264,5.821553707,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383
Egypt,26.820553,30.802498,Middle East and North Africa,2020,4.151400089,4.221919537,4.080880642,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793
El Salvador,13.794185,-88.89653,Latin America and Caribbean,2020,6.34829998,6.462466717,6.234133244,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352
Estonia,58.595272,25.013607,Central and Eastern Europe,2020,6.021800041,6.092330933,5.95126915,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819
Ethiopia,9.145,40.489673,Sub-Saharan Africa,2020,4.186200142,4.262473583,4.109926701,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035
Finland,61.92411,25.748151,Western Europe,2020,7.808700085,7.869766235,7.747633934,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
France,46.227638,2.213749,Western Europe,2020,6.663799763,6.737450123,6.590149403,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237
Gabon,-0.803689,11.609444,Sub-Saharan Africa,2020,4.829299927,4.947425842,4.711174011,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539
Georgia,42.315407,43.356892,Commonwealth of Independent States,2020,4.672599792,4.757698059,4.587501526,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076
Germany,51.165691,10.451526,Western Europe,2020,7.075799942,7.145595074,7.00600481,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
Ghana,7.946527,-1.023194,Sub-Saharan Africa,2020,5.147999763,5.262923717,5.033075809,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381
